Country,Sport
Argentina,Pato
Bangladesh,Kabaddi
Bhutan,Archery
Brazil,Capoeira
Canada,Ice hockey (winter)
Chile,Rodeo
Colombia,Tejo
Iran,"Varzesh-e Bastani, Wrestling, Polo"
Mexico,Charrería
Namibia,"Football, Netball, Rugby"
Nepal,Volleyball
Philippines,Arnis
Puerto Rico,Paso Fino horse riding
South Korea,Taekwondo
Uruguay,Destrezas Criollas
Afghanistan,Buzkashi
Anguilla,Boat racing
Antigua and Barbuda,Cricket
Austria,Alpine skiing
Bermuda,Cricket
Basque Country,Basque pelota
Barbados,Cricket
Cuba,Baseball
Dominican Republic,Baseball
England,"Cricket, Association football, Rugby football, tennis28"
Estonia,"Basketball (summer), Ice hockey (winter)"
Fiji,Rugby Union
Finland,Pesäpallo
Georgia,Rugby union
Grenada,Cricket
Guyana,Cricket
Haiti,Association football
Indonesia,Pencak Silat
Israel,Association football
Ireland,Gaelic games
Jamaica,Cricket
Japan,Sumo
Latvia,Ice hockey (winter)
Lithuania,Basketball
Madagascar,Rugby union
Malaysia,Sepak takraw
Mauritius,Association football
Mongolia,"Archery, Mongolian wrestling, Horse racing"
  Nepal,Dandi Biyo
New Zealand,Rugby union
Norway,Cross-country skiing (winter)
Pakistan,Field hockey
Papua New Guinea,Rugby league
Peru,Paleta Frontón
Philippines,"Sipa, Basketball"
Romania,Oina
Russia,Bandy
Scotland,Golf
Serbia,Basketball
Slovenia,Alpine skiing
Tajikistan,Gushtigiri
Taiwan,Baseball
Turkey,Oil wrestling & Cirit
Turks and Caicos Islands,Cricket
United States,American Football
Venezuela,Baseball
Wales,Rugby union
